# Wohnung Miete from immoscout24.de on 2017-10-16-23-50
ID,Haus/Wohnung,ID,Miete/Kauf,address,balcony,builtInKitchen,city,floorplan,from,garden,lat,livingSpace,lon,numberOfRooms,postcode,price,privateOffer,quarter,title,url
100000056,Wohnung,100000056,Miete,"Trachenberger Str. 59, Pieschen-Nord/Trachenberge, Dresden",false,false,Dresden,true,001.59497,true,51.0883314403,60.97,13.72998602,2,01129,410,false,Pieschen-Nord/Trachenberge,**Altbautraum**große Küche mit Fenster**Stellplatz im Innenhof**,https://www.immobilienscout24.de/expose/100000056
100000187,Wohnung,100000187,Miete,"Bünauplatz 2, Löbtau-Süd, Dresden",true,true,Dresden,false,009.a5d9cb68-dbc0-4f9a-9983-526dcc99ed67,false,51.0409857352,54.41,13.6994882334,2,01159,440,false,Löbtau-Süd,Schöne 2 Raum Wohnung,https://www.immobilienscout24.de/expose/100000187
100001813,Wohnung,100001813,Miete,"Semmelweisstraße 3, Friedrichstadt, Dresden",true,false,Dresden,true,001.50164,false,51.0510162702,59.95,13.7074569214,2,01159,410,false,Friedrichstadt,"Im Frühling, Sommer, Herbst und Winter den Wintergarten nutzen!",https://www.immobilienscout24.de/expose/100001813
100001820,Wohnung,100001820,Miete,"Semmelweisstraße 3, Friedrichstadt, Dresden",true,false,Dresden,true,001.50164,false,51.0510162702,59.95,13.7074569214,2,01159,410,false,Friedrichstadt,Frische Luft in der Badewanne genießen - Ihre neue Wohnung!,https://www.immobilienscout24.de/expose/100001820
100002338,Wohnung,100002338,Miete,"Johannstadt-Nord, Dresden",true,false,Dresden,true,001.668657,false,,77.03,,3,01307,600,false,Johannstadt-Nord,Elbnähe! Helle 3Zimmer-Wohnung mit Balkon in guter Lage von Johannstadt!,https://www.immobilienscout24.de/expose/100002338
100002566,Wohnung,100002566,Miete,"Blasewitz, Dresden",false,true,Dresden,true,001.512069,false,,49,,2,01277,390,false,Blasewitz,Dresden-Blasewitz-Wohnung-gemütliche kleine Wohnung ideal für Singles mit EBK,https://www.immobilienscout24.de/expose/100002566
100002957,Wohnung,100002957,Miete,"Rabenauer Straße 12, Löbtau-Süd, Dresden",true,false,Dresden,true,001.285018,false,51.0400468557,50,13.6900793183,2,01159,390,false,Löbtau-Süd,2-Zi.-Wohnung mit Balkon,https://www.immobilienscout24.de/expose/100002957
100003029,Wohnung,100003029,Miete,"Radeberger Vorstadt, Dresden",true,false,Dresden,true,001.507896,false,,69.85,,2,01099,495,false,Radeberger Vorstadt,Mit Süd-West-Balkon und Lift im Preußischen Viertel,https://www.immobilienscout24.de/expose/100003029
100003170,Wohnung,100003170,Miete,"Dohnaer Straße 227, Lockwitz, Dresden",false,false,Dresden,true,001.642057,true,50.9887253513,53.72,13.813725521,2,01257,325,false,Lockwitz,2 Zimmerwohnung in einer Mehrfamilien-Villa in Lockwitz,https://www.immobilienscout24.de/expose/100003170
100004947,Wohnung,100004947,Miete,"Leipziger Vorstadt, Dresden",true,true,Dresden,false,002.01008117554,false,,76,,3,01097,990,false,Leipziger Vorstadt,Möbliert 3-Zimmer Apartment in Dresden - Neustadt,https://www.immobilienscout24.de/expose/100004947
100005081,Wohnung,100005081,Miete,"Semperstraße 3d, Südvorstadt-Ost, Dresden",true,false,Dresden,false,001.6553874,false,51.0326599843,96.94,13.7455276996,4,01069,850,false,Südvorstadt-Ost,4 Zimmerwohnung mit Balkon und Fußbodenheizung,https://www.immobilienscout24.de/expose/100005081
